gname,glong,glat,vlsr
G016.380-00.308,16.3807,-0.307729,14.5
G016.380-00.308,16.3807,-0.307729,44.8
G016.390-00.138,16.3908,-0.137997,47.1
G016.411-00.056,16.4114,-0.0550034,41.8
G016.411-00.056,16.4114,-0.0550034,53.0
G016.419-00.371,16.419,-0.371,95.8
G016.419-00.371,16.419,-0.371,45.9
G016.419-00.371,16.419,-0.371,10.1
G016.424-00.201,16.4248,-0.200353,44.5
G016.648-00.357,16.6482,-0.356611,44.9
G016.856-01.156,16.8567,-1.15533,20.4
G016.861+00.115,16.8619,0.115178,42.3
G016.944-00.074,16.9442,-0.0732346,-4.5
G016.993+00.873,16.9931,0.873768,26.0
G017.004-00.061,17.0049,-0.0603422,92.3
G017.032-00.052,17.0324,-0.0513422,92.5
G017.114-00.113,17.114,-0.112333,93.0
G017.221-00.187,17.2214,-0.186647,98.6
G017.290-00.202,17.29,-0.202,45.2
G017.336-00.146,17.3366,-0.145261,-6.2
G017.367-00.058,17.3678,-0.0577506,60.5
G017.414+00.377,17.414,0.377,24.7
G017.448-00.082,17.4482,-0.0812228,63.8
G017.584+00.088,17.5842,0.0880661,48.0
G017.584+00.088,17.5842,0.0880661,21.6
G017.590+00.092,17.5901,0.092395,48.0
G017.590+00.092,17.5901,0.092395,21.6
G017.594+00.087,17.5945,0.0877955,48.0
G017.594+00.087,17.5945,0.0877955,21.6
G017.625+00.048,17.625,0.048,23.6
G017.638+00.157,17.638,0.157772,25.2
G017.928-00.677,17.928,-0.677,39.1
G018.068-00.013,18.068,-0.0121453,68.0
G018.068-00.013,18.068,-0.0121453,34.7
G018.068-00.013,18.068,-0.0121453,104.2
G018.076+00.068,18.0762,0.0681467,58.2
G018.096-00.322,18.0962,-0.321147,50.8
G018.144-00.281,18.1446,-0.280032,53.5
G018.152+00.090,18.1523,0.0908472,53.0
G018.187-00.415,18.1874,-0.414936,43.2
G018.195-00.171,18.1951,-0.170625,46.1
G018.218+00.397,18.2189,0.397853,-0.4
G018.253-00.298,18.2535,-0.297815,50.9
G018.305-00.391,18.305,-0.391,32.7
G018.329+00.024,18.3293,0.0243694,50.4
G018.426+01.922,18.4262,1.92259,29.8
G018.451-00.016,18.451,-0.0157862,56.5
G018.461-00.003,18.4611,-0.00297533,56.5
G018.584+00.344,18.584,0.344,10.8
G018.594+00.321,18.5945,0.321594,13.4
G018.630+00.309,18.63,0.309,14.0
G018.631-00.492,18.6318,-0.491838,61.6
G018.632+00.256,18.6324,0.256422,18.4
G018.657-00.057,18.6571,-0.0563314,44.1
G018.669+01.965,18.6699,1.96501,27.6
G018.677-00.236,18.677,-0.236,42.6
G018.710+00.000,18.7106,0.000262043,31.8
G018.725-00.046,18.7255,-0.0450656,63.5
G018.741+00.250,18.7412,0.250739,19.1
G018.750-00.535,18.7502,-0.534874,66.5
G018.832-00.300,18.832,-0.3,46.4
G018.881-00.493,18.881,-0.493,65.5
G018.914-00.329,18.914,-0.328515,36.2
G018.914-00.329,18.914,-0.328515,68.0
G018.978+00.030,18.978,0.0307738,52.3
G019.030+00.423,19.0308,0.423777,25.4
G019.045-00.588,19.0451,-0.587701,68.2
G019.064-00.282,19.0643,-0.281631,64.4
G019.122-00.263,19.1228,-0.262408,100.4
G019.122-00.263,19.1228,-0.262408,56.0
G019.466+00.168,19.4663,0.168222,70.8
G019.466+00.168,19.4663,0.168222,109.3
G019.466+00.168,19.4663,0.168222,19.9
G019.480+00.155,19.4809,0.155966,19.8
G019.489+00.135,19.4896,0.135306,19.8
G019.494-00.150,19.494,-0.149185,54.6
G019.494-00.150,19.494,-0.149185,32.1
G019.504-00.193,19.5048,-0.192796,37.8
G019.554-00.248,19.5541,-0.247606,41.0
G019.594+00.024,19.594,0.024,35.3
G019.604-00.905,19.6049,-0.904892,38.7
G019.609-00.239,19.6093,-0.238419,42.5
G019.629-00.095,19.6291,-0.09409,58.6
G019.666-00.309,19.6665,-0.308261,44.3
G019.675-00.226,19.6758,-0.225447,42.5
G019.677-00.134,19.6771,-0.133331,55.0
G019.716-00.261,19.7164,-0.26071,40.1
G019.728-00.113,19.728,-0.113,57.3
G019.741+00.280,19.741,0.28,16.3
G019.780+00.286,19.7807,0.286631,-9.3
G019.818+00.010,19.8183,0.0104075,60.4
G020.070-00.144,20.0706,-0.14344,42.2
G020.077-00.141,20.0771,-0.140456,42.2
G020.083-00.135,20.0837,-0.134101,42.2
G020.098-00.123,20.098,-0.123,43.4
G020.150-00.335,20.1503,-0.33496,67.3
G020.227+00.110,20.227,0.11,22.1
G020.363-00.014,20.363,-0.014,54.1
